batch_id,file_path,n_search_queries,n_hotel_options,first_srch_id,last_srch_id
problem7_part_a_001,problem7_claude_batches/part_a/problem7_part_a_001.xlsx,100,1956,1,12132
problem7_part_a_002,problem7_claude_batches/part_a/problem7_part_a_002.xlsx,100,1807,12145,23080
problem7_part_a_003,problem7_claude_batches/part_a/problem7_part_a_003.xlsx,100,2027,23182,34295
problem7_part_a_004,problem7_claude_batches/part_a/problem7_part_a_004.xlsx,100,1911,34592,46908
problem7_part_a_005,problem7_claude_batches/part_a/problem7_part_a_005.xlsx,100,1857,47003,57719
problem7_part_a_006,problem7_claude_batches/part_a/problem7_part_a_006.xlsx,100,1833,57751,69545
problem7_part_a_007,problem7_claude_batches/part_a/problem7_part_a_007.xlsx,100,1928,69567,81253
problem7_part_a_008,problem7_claude_batches/part_a/problem7_part_a_008.xlsx,100,1863,81572,92109
problem7_part_a_009,problem7_claude_batches/part_a/problem7_part_a_009.xlsx,100,1693,92179,105007
problem7_part_a_010,problem7_claude_batches/part_a/problem7_part_a_010.xlsx,100,1952,105094,117030
problem7_part_a_011,problem7_claude_batches/part_a/problem7_part_a_011.xlsx,100,2025,117317,129744
problem7_part_a_012,problem7_claude_batches/part_a/problem7_part_a_012.xlsx,100,1969,130131,141870
problem7_part_a_013,problem7_claude_batches/part_a/problem7_part_a_013.xlsx,100,1749,141890,150945
problem7_part_a_014,problem7_claude_batches/part_a/problem7_part_a_014.xlsx,100,1846,150959,163078
problem7_part_a_015,problem7_claude_batches/part_a/problem7_part_a_015.xlsx,100,1685,163141,174931
problem7_part_a_016,problem7_claude_batches/part_a/problem7_part_a_016.xlsx,100,1893,174979,187592
problem7_part_a_017,problem7_claude_batches/part_a/problem7_part_a_017.xlsx,100,1773,187630,199482
problem7_part_a_018,problem7_claude_batches/part_a/problem7_part_a_018.xlsx,100,1792,199628,211319
problem7_part_a_019,problem7_claude_batches/part_a/problem7_part_a_019.xlsx,100,2019,211454,221492
problem7_part_a_020,problem7_claude_batches/part_a/problem7_part_a_020.xlsx,100,2040,221497,231019
problem7_part_a_021,problem7_claude_batches/part_a/problem7_part_a_021.xlsx,100,1846,231112,241150
problem7_part_a_022,problem7_claude_batches/part_a/problem7_part_a_022.xlsx,100,1943,241170,253020
problem7_part_a_023,problem7_claude_batches/part_a/problem7_part_a_023.xlsx,100,1885,253073,264639
problem7_part_a_024,problem7_claude_batches/part_a/problem7_part_a_024.xlsx,100,2064,264913,275697
problem7_part_a_025,problem7_claude_batches/part_a/problem7_part_a_025.xlsx,100,1816,275809,287060
problem7_part_a_026,problem7_claude_batches/part_a/problem7_part_a_026.xlsx,100,2053,287113,299934
problem7_part_a_027,problem7_claude_batches/part_a/problem7_part_a_027.xlsx,100,1852,299985,312322
problem7_part_a_028,problem7_claude_batches/part_a/problem7_part_a_028.xlsx,100,1964,312355,323439
problem7_part_a_029,problem7_claude_batches/part_a/problem7_part_a_029.xlsx,100,1784,323590,334848
problem7_part_a_030,problem7_claude_batches/part_a/problem7_part_a_030.xlsx,100,1821,334927,343717
problem7_part_a_031,problem7_claude_batches/part_a/problem7_part_a_031.xlsx,100,1925,343810,352414
problem7_part_a_032,problem7_claude_batches/part_a/problem7_part_a_032.xlsx,100,1671,352576,364361
problem7_part_a_033,problem7_claude_batches/part_a/problem7_part_a_033.xlsx,100,1901,364484,374894
problem7_part_a_034,problem7_claude_batches/part_a/problem7_part_a_034.xlsx,100,1688,374951,384952
problem7_part_a_035,problem7_claude_batches/part_a/problem7_part_a_035.xlsx,100,1713,385165,394486
problem7_part_a_036,problem7_claude_batches/part_a/problem7_part_a_036.xlsx,100,1924,394668,404747
problem7_part_a_037,problem7_claude_batches/part_a/problem7_part_a_037.xlsx,100,1923,404946,416041
problem7_part_a_038,problem7_claude_batches/part_a/problem7_part_a_038.xlsx,100,1905,416136,427236
problem7_part_a_039,problem7_claude_batches/part_a/problem7_part_a_039.xlsx,100,1883,427595,440541
problem7_part_a_040,problem7_claude_batches/part_a/problem7_part_a_040.xlsx,100,1987,440683,452874
problem7_part_a_041,problem7_claude_batches/part_a/problem7_part_a_041.xlsx,100,1995,452920,463684
problem7_part_a_042,problem7_claude_batches/part_a/problem7_part_a_042.xlsx,100,1974,463945,475635
problem7_part_a_043,problem7_claude_batches/part_a/problem7_part_a_043.xlsx,100,1866,475737,489449
problem7_part_a_044,problem7_claude_batches/part_a/problem7_part_a_044.xlsx,100,1852,489471,500395
problem7_part_a_045,problem7_claude_batches/part_a/problem7_part_a_045.xlsx,100,1815,500486,511238
problem7_part_a_046,problem7_claude_batches/part_a/problem7_part_a_046.xlsx,100,1789,511292,524486
problem7_part_a_047,problem7_claude_batches/part_a/problem7_part_a_047.xlsx,100,1873,524595,535984
problem7_part_a_048,problem7_claude_batches/part_a/problem7_part_a_048.xlsx,100,1831,536081,548243
problem7_part_a_049,problem7_claude_batches/part_a/problem7_part_a_049.xlsx,100,1941,548276,560142
problem7_part_a_050,problem7_claude_batches/part_a/problem7_part_a_050.xlsx,100,1877,560282,570156
problem7_part_a_051,problem7_claude_batches/part_a/problem7_part_a_051.xlsx,100,1721,570176,581554
problem7_part_a_052,problem7_claude_batches/part_a/problem7_part_a_052.xlsx,100,1864,581588,593030
problem7_part_a_053,problem7_claude_batches/part_a/problem7_part_a_053.xlsx,100,1826,593205,602425
problem7_part_a_054,problem7_claude_batches/part_a/problem7_part_a_054.xlsx,100,1888,602447,609929
problem7_part_a_055,problem7_claude_batches/part_a/problem7_part_a_055.xlsx,100,1777,609945,611673
problem7_part_a_056,problem7_claude_batches/part_a/problem7_part_a_056.xlsx,100,1765,611685,613283
problem7_part_a_057,problem7_claude_batches/part_a/problem7_part_a_057.xlsx,100,1677,613292,615212
problem7_part_a_058,problem7_claude_batches/part_a/problem7_part_a_058.xlsx,100,1650,615219,617162
problem7_part_a_059,problem7_claude_batches/part_a/problem7_part_a_059.xlsx,100,1661,617184,618647
problem7_part_a_060,problem7_claude_batches/part_a/problem7_part_a_060.xlsx,100,1911,618674,620501
problem7_part_a_061,problem7_claude_batches/part_a/problem7_part_a_061.xlsx,100,1712,620548,622455
problem7_part_a_062,problem7_claude_batches/part_a/problem7_part_a_062.xlsx,100,1676,622476,624180
problem7_part_a_063,problem7_claude_batches/part_a/problem7_part_a_063.xlsx,100,1747,624307,626347
problem7_part_a_064,problem7_claude_batches/part_a/problem7_part_a_064.xlsx,100,1702,626366,628091
problem7_part_a_065,problem7_claude_batches/part_a/problem7_part_a_065.xlsx,100,1774,628113,629834
problem7_part_a_066,problem7_claude_batches/part_a/problem7_part_a_066.xlsx,100,1533,629861,631698
problem7_part_a_067,problem7_claude_batches/part_a/problem7_part_a_067.xlsx,100,1516,631713,633757
problem7_part_a_068,problem7_claude_batches/part_a/problem7_part_a_068.xlsx,100,1646,633773,635993
problem7_part_a_069,problem7_claude_batches/part_a/problem7_part_a_069.xlsx,100,1853,636000,638034
problem7_part_a_070,problem7_claude_batches/part_a/problem7_part_a_070.xlsx,100,1930,638046,639832
problem7_part_a_071,problem7_claude_batches/part_a/problem7_part_a_071.xlsx,100,2171,639849,642060
problem7_part_a_072,problem7_claude_batches/part_a/problem7_part_a_072.xlsx,100,1716,642131,644224
problem7_part_a_073,problem7_claude_batches/part_a/problem7_part_a_073.xlsx,100,1727,644227,645995
problem7_part_a_074,problem7_claude_batches/part_a/problem7_part_a_074.xlsx,100,1757,645996,647652
problem7_part_a_075,problem7_claude_batches/part_a/problem7_part_a_075.xlsx,100,1757,647685,649569
problem7_part_a_076,problem7_claude_batches/part_a/problem7_part_a_076.xlsx,100,1859,649591,651356
problem7_part_a_077,problem7_claude_batches/part_a/problem7_part_a_077.xlsx,100,1736,651359,653149
problem7_part_a_078,problem7_claude_batches/part_a/problem7_part_a_078.xlsx,100,1888,653173,655266
problem7_part_a_079,problem7_claude_batches/part_a/problem7_part_a_079.xlsx,100,1590,655268,657327
problem7_part_a_080,problem7_claude_batches/part_a/problem7_part_a_080.xlsx,100,1740,657334,659138
problem7_part_a_081,problem7_claude_batches/part_a/problem7_part_a_081.xlsx,100,1671,659144,660926
problem7_part_a_082,problem7_claude_batches/part_a/problem7_part_a_082.xlsx,100,1723,660937,662768
problem7_part_a_083,problem7_claude_batches/part_a/problem7_part_a_083.xlsx,100,1824,662776,664546
problem7_part_a_084,problem7_claude_batches/part_a/problem7_part_a_084.xlsx,54,1042,664561,665573
